Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
,TGS-2022012523,,,,,,Automation Management,Automated Operation Monitoring,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2021008599,,,,,,Automation Management,Automated Operation Monitoring,I_NURTURE CONSULTANCY,SSG-WSQ,N
,TGS-2021008599,,,,,,Automation Management,Automation Process Control,I_NURTURE CONSULTANCY,SSG-WSQ,N
,TGS-2021010328,,,,,,Automation Management,Automated Operation Monitoring,Delta Senior School,SSG-WSQ,N
,TGS-2021010328,,,,,,Manufacturing and Operations,Cleanliness and Contamination Control,Delta Senior School,SSG-WSQ,N
,TGS-2022013976,,,,,,Automation Management,Automated Operation Monitoring,Social Service Institute (SSI),SSG-NON-WSQ,N
,TGS-2020504037,,,,,,Automation Management,Automated System Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020504037,,,,,,Engineering and Manufacturing Fundamentals,Computer-aided Manufacturing,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020510530,,,,,,Automation Management,Automated System Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020510530,,,,,,Business and Organisational Management,Networking,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2021002910,,,,,,Automation Management,Automated System Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2022012119,,,,,,Automation Management,Automated System Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2022012120,,,,,,Automation Management,Automated System Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2019506927,,,,,,Automation Management,Automation Process Control,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2021010119,,,,,,Automation Management,Automation Process Control,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2020501971,,,,,,Big Data Analytics,Data Analytics System Design,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2020501971,,,,,,Business and Organisational Management,Business Data Analysis,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2022010724,,,,,,Big Data Analytics,Data Analytics System Design,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2022010724,,,,,,Business and Organisational Management,Business Data Analysis,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2021007176,,,,,,Big Data Analytics,Data Analytics System Design,Singapore Institute of Management Group Limited,SSG-NON-WSQ,N
,TGS-2021007176,,,,,,Business and Organisational Management,Business Data Analysis,Singapore Institute of Management Group Limited,SSG-NON-WSQ,N
,TGS-2020503895,,,,,,Big Data Analytics,Data Analytics System Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020503895,,,,,,Maintenance,Equipment Maintenance,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020503895,,,,,,Product Development,Manufacturing Process Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020503895,,,,,,Quality Management,Quality System Management,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2021009230,,,,,,Big Data Analytics,Data Analytics System Design,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009230,,,,,,Business and Organisational Management,Business Data Analysis,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009236,,,,,,Big Data Analytics,Data Analytics System Design,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009236,,,,,,Business and Organisational Management,Business Data Analysis,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009256,,,,,,Big Data Analytics,Data Analytics System Design,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009256,,,,,,Quality Management,Failure Analysis,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2019502727,,,,,,Business and Organisational Management,Business Data Analysis,TOURISM MANAGEMENT INSTITUTE OF SINGAPORE PTE LTD,SSG-WSQ,N
,TGS-2019502727,,,,,,Business and Organisational Management,Business Planning,TOURISM MANAGEMENT INSTITUTE OF SINGAPORE PTE LTD,SSG-WSQ,N
,TGS-2022015961,,,,,,Business and Organisational Management,Business Data Analysis,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
,TGS-2021002596,,,,,,Business and Organisational Management,Business Data Analysis,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,SSG-NON-WSQ,N
,TGS-2020001449,,,,,,Business and Organisational Management,Business Data Analysis,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2020502139,,,,,,Business and Organisational Management,Business Data Analysis,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2020502139,,,,,,Business and Organisational Management,Project Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
