Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
Comply with Workplace Safety and Health Policies and Procedures (FSS--WSH-2092-1.1)),TGS-2012500966,CBM PTE. LTD.,197100922N,SSG-WSQ,"to provide participants with a competency-based facilitated training and assessment. By the end of the training and assessment, successful participants will be able to comply with workplace safety and health policies and procedures during the course of work.","- Assessment Plan_x000D_
- Assessment Marking Sheet_x000D_
- Cross Reference Matrix_x000D_
- Course Outline_x000D_
- Lesson Plan & Facilitator Guide",Workplace Safety and Health Management,Workplace Safety and Health Practice,CBM PTE. LTD.,SSG-WSQ,N
Comply with Workplace Safety and Health Policies and Procedures (FSS--WSH-2092-1.1)),TGS-2012500966,CBM PTE. LTD.,197100922N,SSG-WSQ,"to provide participants with a competency-based facilitated training and assessment. By the end of the training and assessment, successful participants will be able to comply with workplace safety and health policies and procedures during the course of work.","- Assessment Plan_x000D_
- Assessment Marking Sheet_x000D_
- Cross Reference Matrix_x000D_
- Course Outline_x000D_
- Lesson Plan & Facilitator Guide",Workplace Safety and Health Management,Workplace Safety and Health System Management,CBM PTE. LTD.,SSG-WSQ,N
Robotics Programming (ROS) for Advanced Manufacturing,TGS-2023021860,BOSCH REXROTH PTE. LTD.,197700888D,SSG-NON-WSQ,Participants will gain an understanding on Robot Operation System (ROS) as a software integration tool for implementation of an industrial robot work cell and working with Collaborative Robots.,"Robotics programming with Robot Operating System for application in Advanced Manufacturing _x000D_
 This course is a collaboration for Bosch Rexroth Regional Training Centre (BRRTC) with support of SSG and JTC. _x000D_
",Manufacturing and Operations,Manufacturing Technology,BOSCH REXROTH PTE. LTD.,SSG-NON-WSQ,N
Supervise Workplace Safety and Health in Process Plant,TGS-2013500766,PEC LTD.,198200079M,SSG-WSQ,"On completion of this unit, learners will have the knowledge and application skills to carry out hazard identification and risk assessment, comply with the safety and health management system, co-ordinate a permit-to-work system, and carry out safety inspections and investigations.","CE1. Comply with workplace safety and health legislations, guidelines and code of practice and provide inputs for risk assessment_x000D_
CE2. Identify hazards and control measures_x000D_
CE3. Comply with safety and health management system_x000D_
CE4. Implement a permit-to-work system_x000D_
CE5. Conduct safety and health inspection_x000D_
CE6. Conduct incident investigation",Workplace Safety and Health Management,Workplace Safety and Health Practice,PEC LTD.,SSG-WSQ,N
Supervise Workplace Safety and Health in Process Plant,TGS-2013500766,PEC LTD.,198200079M,SSG-WSQ,"On completion of this unit, learners will have the knowledge and application skills to carry out hazard identification and risk assessment, comply with the safety and health management system, co-ordinate a permit-to-work system, and carry out safety inspections and investigations.","CE1. Comply with workplace safety and health legislations, guidelines and code of practice and provide inputs for risk assessment_x000D_
CE2. Identify hazards and control measures_x000D_
CE3. Comply with safety and health management system_x000D_
CE4. Implement a permit-to-work system_x000D_
CE5. Conduct safety and health inspection_x000D_
CE6. Conduct incident investigation",Workplace Safety and Health Management,Workplace Safety and Health System Management,PEC LTD.,SSG-WSQ,N
BA (HONS) PRODUCT DESIGN,TGS-2017504650,LASALLE COLLEGE OF THE ARTS,199202950W,SSG-NON-WSQ,"Product design is about people, processes, methods, objects and meaning-making. The design field facilitates the transformation of everyday life's social, cultural and economic processes, especially in an uncertain and complex world.","For more information, please visit https://www.lasalle.edu.sg/programmes/ba-hons/product-design",Product Development,Engineering Product Design,LASALLE COLLEGE OF THE ARTS,SSG-NON-WSQ,N
Food Safety Course Level 1 (Refresher) â€“ Mandarin,TGS-2023035677,JUMBO GROUP OF RESTAURANTS PTE. LTD.,199403639K,SSG-WSQ,"Refresh on preparing food for sale in SFA-licensed food establishments and to pass Food Safety Course (FSC) Level 1 (Refresher)._x000D_
On completion of this course, participants will have the knowledge and skills in Food Safety and Hygiene and able to apply them at the workplace._x000D_
Course objectives:_x000D_
- Topic 1: Practise good personal hygiene_x000D_
- Topic 2: Use safe ingredients_x000D_
- Topic 3: Handle food safely_x000D_
- Topic 4: Store food safely_x000D_
- Topic 5: Maintain cleanliness of equipment and premises.","Individuals who are involved in preparing food for sale in food establishments licensed by the_x000D_
Singapore Food Agency (SFA) must complete and pass the Food Safety Course (FSC) Level 1.This_x000D_
course will equip food handlers with the knowledge and application skills to follow food safety and_x000D_
hygiene procedures and policies, as well as maintain the cleanliness and upkeep of premises.",Manufacturing and Operations,Cleanliness and Contamination Control,JUMBO GROUP OF RESTAURANTS PTE. LTD.,SSG-WSQ,N
Exploring Opportunities and Growth Areas in the Food and Beverage Industry,TGS-2020504286,SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,SSG-NON-WSQ,"""In this module, participants will be guided on how to identify an opportunity, create a concept, identify their audience, locate the right venue or production facility, build the right team or secure partnerships. ""","""At the end of the 2-day module, participants will be able to: _x000D_
â€¢ Gain an overview of the industry and general trends_x000D_
â€¢ Gain a high-level understanding of various food concept development such as themed cafes and specialty restaurants _x000D_
â€¢ Understand how to ideate vision, mission, purpose of your business_x000D_
â€¢ Know the common reasons why F&B entrepreneurs fail and learn how to avoid them. """,Business and Organisational Management,Business Planning,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
Advanced Certificate in Logistics and Supply Chain Management Module 3: Order Fulfilment and Transportation Management,TGS-2020512905,SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,SSG-NON-WSQ,"This module is designed for individuals seeking to develop an operating knowledge of transportation operations management relating to manufacturing and supply chain. Participants will acquire concepts and operational specifics of commercial intermodal transportation pertaining to freight movement. They will also learn about intermodal services, terminals, equipment and information systems and the interactions between individual modes and intermediaries.","At the end of the 2-day module, participants will be able to: _x000D_
â€¢ Learn the key concepts of multi-modal integrated transport in an urban and regional context; _x000D_
â€¢ Understand current practices and developments in transport planning studies and how to get results; _x000D_
â€¢ Understand the practical issues and approaches in integrating multi-modal transport.",Manufacturing and Operations,Manufacturing Technology,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
Advanced Certificate in Supply Chain Innovation and Transformation Module 2: Introduction to the Digital Transformation Toolkit and Project Management,TGS-2020512910,SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,SSG-NON-WSQ,"This module focuses on the use of the innovation transformation toolkit. The toolkit introduces the means to diagnose the state of innovation readiness for a business/ organisation. It starts with diagnosis and then jorneys through three phases of development â€“ conceptualisation, proof of concept and deployment. Participants will also be equipped with critical project management skills which will enable them to manage and meet the milestones of different project phases and to deliver on their organisation's digital transformation strategies.","At the end of the 3-day module, participants will be able to: _x000D_
â€¢ Apply the innovation transformation toolkit; _x000D_
â€¢ Develop a more comprehensive view of the project management lifecycle; _x000D_
â€¢ Understand how to leverage people, processes and technology to help their organisations achieve digital transformation.",Business and Organisational Management,Project Management,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
