Course Reference Number,Skill Title,Course Title,About This Course,What You'll Learn,skill_lower,Sector Relevance,proficiency_level,reason,confidence,proficiency_level_rac_chart,reason_rac_chart,confidence_rac_chart
TGS-2023040512,Network Planning And Operations,Personal Branding and Executive Presence for Career Growth (Classroom & Asynchronous),"How do your colleagues describe you when youâ€™re not around? What do they say when they introduce you to people? _x000D_
_x000D_
The answers give you clues about your personal brand. And you can influence them._x000D_
_x000D_
Embark on a personal journey with Personal Branding and Executive Presence for Career Growth, a course designed to help you craft an authentic personal brand that propels your career forward. _x000D_
_x000D_
In this fun and interactive course, we unravel the secrets to effective personal branding, helping you create a lasting impression aligned with your professional aspirations and values. _x000D_
 _x000D_
This course will enable you to:  _x000D_
_x000D_
 -	Build a network that supports your growth and opens doors to opportunities._x000D_
 -	Cultivate greater executive presence and gravitas, leaving a remarkable impact in every interaction._x000D_
 -	Harness the power of personal branding, build an influential network, and develop the executive presence that sets you apart._x000D_
_x000D_
Join us for an immersive learning experience. The courseâ€™s interactive role plays, engaging discussions, and expert-led sessions will equip you to own your narrative, amplify your voice, and navigate your path to career success.","At the end of this course, youâ€™ll be able to: _x000D_
_x000D_
 -	Create a compelling personal brand that aligns with your professional goals and values._x000D_
 -	Leverage digital platforms effectively to showcase your expertise and build an online professional presence._x000D_
 -	Develop a networking plan to cultivate meaningful connections across your desired business or industry._x000D_
 -	Maintain healthy relationships with peers and fellow industry professionals for career and business opportunities._x000D_
 -	Enhance your image and brand through confident communication, body language, and impactful storytelling._x000D_
 -	Navigate diverse networking scenarios with cultural sensitivity, fostering cross-cultural relationships.",network planning and operations,In Sector,0,"The course focuses on personal branding and executive presence, not specifically on network planning and operations.",high,0.0,"The course content provided does not align with the specific knowledge and abilities associated with the proficiency levels for network planning and operations as defined in the Knowledge Base. The course focuses on personal branding, executive presence, and networking, which are not directly related to the technical and operational aspects of network planning and operations in the aviation context.",high
TGS-2023040601,Network Planning And Operations,[LPCI] Personal Branding and Executive Presence for Career Growth (Classroom & Asynchronous),"How do your colleagues describe you when youâ€™re not around? What do they say when they introduce you to people? _x000D_
_x000D_
The answers give you clues about your personal brand. And you can influence them._x000D_
_x000D_
Embark on a personal journey with Personal Branding and Executive Presence for Career Growth, a course designed to help you craft an authentic personal brand that propels your career forward. _x000D_
_x000D_
In this fun and interactive course, we unravel the secrets to effective personal branding, helping you create a lasting impression aligned with your professional aspirations and values. _x000D_
 _x000D_
This course will enable you to:  _x000D_
_x000D_
 -	Build a network that supports your growth and opens doors to opportunities._x000D_
 -	Cultivate greater executive presence and gravitas, leaving a remarkable impact in every interaction._x000D_
 -	Harness the power of personal branding, build an influential network, and develop the executive presence that sets you apart._x000D_
_x000D_
Join us for an immersive learning experience. The courseâ€™s interactive role plays, engaging discussions, and expert-led sessions will equip you to own your narrative, amplify your voice, and navigate your path to career success.","At the end of this course, youâ€™ll be able to: _x000D_
_x000D_
 -	Create a compelling personal brand that aligns with your professional goals and values._x000D_
 -	Leverage digital platforms effectively to showcase your expertise and build an online professional presence._x000D_
 -	Develop a networking plan to cultivate meaningful connections across your desired business or industry._x000D_
 -	Maintain healthy relationships with peers and fellow industry professionals for career and business opportunities._x000D_
 -	Enhance your image and brand through confident communication, body language, and impactful storytelling._x000D_
 -	Navigate diverse networking scenarios with cultural sensitivity, fostering cross-cultural relationships.",network planning and operations,In Sector,0,"The course focuses on personal branding and executive presence, not specifically on network planning and operations.",high,0.0,"The course content provided does not align with the knowledge and abilities associated with any proficiency level for the skill 'network planning and operations' as defined in the Knowledge Base. The course focuses on personal branding, executive presence, and networking, which are unrelated to the technical and operational aspects of network planning and operations in the aviation context.",high
TGS-2020505417,Aircraft Dispatch,Quality Management System in Aerospace,"â€¢  Appreciate the general concepts of the Quality Management System (QMS) and aviation authority regulatory framework _x000D_
â€¢  Appreciate how the QMS requirements are applied to the Maintenance, Repair and Overhaul (MRO) Industry_x000D_
â€¢  Gain knowledge about the types, and requirements of common work documents_x000D_
â€¢  Support SMS implementation of pertinent policies, objectives, risk management and promotion elements_x000D_
â€¢  Appreciate basic work ethics, guidance instructions and expectations of working in Maintenance, Repair and Overhaul (MRO)  workplace_x000D_
â€¢  Cognizant with ground safety and precautions when working around aircraft_x000D_
â€¢  Appreciate use of quality tools, quality control methodology and quality standards_x000D_
â€¢  Apply error and non-compliance management methods_x000D_
â€¢  Monitor and improve product and service quality","â€¢  Quality Management System and Aviation Regulatory Framework _x000D_
â€¢  QMS application and appreciation in Aviation Maintenance, Repair and Overhaul (MRO) Industry_x000D_
â€¢  Aviation Work Document Management_x000D_
â€¢  Aviation Safety Management System (SMS)_x000D_
â€¢  Aviation Basic Mannerism_x000D_
â€¢  Basic Aircraft Safety_x000D_
â€¢  Quality Controls, Checking and Testing Methods_x000D_
â€¢  Non-compliance Management_x000D_
â€¢  Quality Improvement",aircraft dispatch,In Sector,0,"The course focuses on Quality Management Systems in aerospace, not on specific aircraft dispatch skills.",high,0.0,"The course content provided does not explicitly cover the detailed knowledge and abilities associated with aircraft dispatch as defined in the Knowledge Base. The focus of the course is on Quality Management Systems, regulatory frameworks, and safety management in the MRO industry, which does not directly align with the specific skills and knowledge required for aircraft dispatch.",high
TGS-2023017792,Customer Service Delivery,Digital Marketing Strategy: Increasing Brand Awareness and Presence in the Online World,"Candidate will learn_x000D_
Brand management strategies _x000D_
Brand portfolio, image, and position _x000D_
Shopper personas _x000D_
Campaign evaluation tools and methods _x000D_
Means of using data gathered from precampaign testing_x000D_
","For marketing executives in Retail:_x000D_
  a) Identifying value to your customer and communicating to spread digital/social currency_x000D_
  b) What is social currency?_x000D_
  c) Coming up with a funnel strategy to make sure you cover, awareness, retention and conversion_x000D_
  d) Branding strategies to increase brand awareness through digital marketing",customer service delivery,In Sector,0,"The course focuses on digital marketing and brand awareness, not directly on customer service delivery.",high,0.0,"The course content and skills taught are focused on digital marketing strategies, brand management, and campaign evaluation, which do not directly align with the knowledge and abilities associated with customer service delivery as defined in the Knowledge Base.",high
TGS-2024041972,Standard Operating Procedures Development,Visual Merchandising for Retail Spaces,"Candidates will be able to perform:_x000D_
Adhere to operational guidelines in setting up POP displays_x000D_
Contribute to the creation of promotional displays making innovative use of available materials and supplies_x000D_
Support brainstorming of ideas of new promotion displays_x000D_
","Candidates will learn:_x000D_
Features of space utilisation_x000D_
Principles of design_x000D_
Techniques of visual merchandising_x000D_
Methods to optimise effectiveness of displays_x000D_
Safety issues associated with construction and promotional displays_x000D_
",standard operating procedures development,In Sector,0,The course focuses on visual merchandising and does not cover SOP development or related skills.,high,0.0,"The course content and skills taught do not directly align with the knowledge and abilities associated with the development of standard operating procedures (SOPs) as defined in the Knowledge Base. The focus of the course is on visual merchandising, space utilization, design principles, and display techniques, which do not directly relate to SOPs development.",high
TGS-2022017659,Airport Safeguarding And Security,Crowd and Traffic Control Management (Conduct Crowd and Traffic Control),"Upon successful completion, learners will also be equipped with competencies and capabilities to handle incidents involving crowd and vehicular traffic professionally using effective communication skills.","Prospect Protectionâ€™s Crowd and Traffic Control Management (Conduct Crowd and Traffic Control) course covers the knowledge, skills and attitudes required of a security personnel to manage crowd and conduct traffic control at various premises.",airport safeguarding and security,In Sector,0,"The course focuses on crowd and traffic control, not specifically on airport safeguarding and security.",high,0.0,"The course content focuses on crowd and traffic control management, which does not directly align with the specific knowledge and abilities required for airport safeguarding and security as defined in the Knowledge Base.",low
TGS-2013500000,Aircraft Dispatch,Airfreight Forwarders Basic Course,"- To provide an overview of the aircargo industry through coverage on airlines, cargo handling agents and freight forwarder operations_x000D_
_x000D_
- To educate participants in import/export procedures","- The Airfreight Industry_x000D_
_x000D_
- IATA eTerms_x000D_
_x000D_
- International Organisations, #Associations & Regulatory Authorities_x000D_
_x000D_
- Airfreight: An Alternative - Total Cost Concept (Introduction)_x000D_
_x000D_
- Document of Affreightment: The Airway Bill_x000D_
> Cautionary Notices in the Airway Bill_x000D_
> Use & Purpose of the Airway Bill_x000D_
> Validity & Duration_x000D_
> Amendment of Airway Bill_x000D_
> Check Digit_x000D_
_x000D_
- IATA Rules, Tariff & Publicationd - TACT, OAG, DGR_x000D_
_x000D_
- Airline - Organisation, Traffic Rights, Cargo Market_x000D_
_x000D_
- Aircraft - Payload, Types of ULDs_x000D_
_x000D_
- Ground Handling Agents - Activities and Roles_x000D_
_x000D_
- Freight Forwarder - Export/ Breakbulk/ Import Procedures_x000D_
_x000D_
- Basic Cargo Rating_x000D_
_x000D_
- Cargo Damage/ Loss - Pre-claim Procedure",aircraft dispatch,In Sector,0,"The course focuses on airfreight operations and documentation, not on the detailed dispatch procedures and decision-making required for proficiency levels 4 or 5.",high,0.0,"The course content provided does not include specific details or advanced topics related to aircraft dispatch procedures, weather conditions, airworthiness documentation, or other critical aspects of flight dispatch as defined in the Knowledge Base for proficiency levels 4 and 5.",low
TGS-2020503821,Aircraft Manual Handling,Mobility and Ambulation Assistance in Nursing,"Learner will be able to assist in ambulation, mobilisation, positioning and transfer of stable patients in accordance to the organisational guidelines and workplace safety and health procedures","Learning unit 1: Basic structure and functions of the musculoskeletal system_x000D_
Learning unit 2: Environmental safety practices and safe use of equipment_x000D_
Learning unit 3: Safety measures in terms of patients'assessment and appropriate interventions/techniques in performing safe manual handling_x000D_
Learning unit 4: Safe positioning, repositioning techniques and the proper use of adaptive devices for safe mobility and ambulation",aircraft manual handling,In Sector,0,"The course is focused on nursing and patient handling, not related to aircraft manual handling.",high,0.0,"The provided Knowledge Base and Reference Document do not contain information related to the skill 'aircraft manual handling' in the context of the training course 'Mobility and Ambulation Assistance in Nursing'. The proficiency levels and knowledge/ability items listed are specific to aviation-related skills, which do not align with the nursing-related course content.",high
TGS-2013500006,Aircraft Dispatch,Basic Aviation Security Course,To equip trainees with the necessary knowledge in Aviation Security at the Airport.,"The training shall focus on threat to civil aviation and their roles and responsibilities in identifying and mitigating these threats, as well as when dealing with emergencies.",aircraft dispatch,In Sector,0,"The course focuses on aviation security, not on the detailed aspects of aircraft dispatch as described in the proficiency levels.",high,0.0,"The course content focuses on aviation security, threat identification, and emergency handling, which are not directly related to the detailed knowledge and abilities required for aircraft dispatch as defined in the Knowledge Base.",high
TGS-2020500709,Aircraft Cruise Operations,Aircraft Search / Check,This training shall focus on the necessary knowledge and skills required to conduct an aircraft search to ensure that the aircraft is safe and secure.,"Module 1: Introduction to Aircraft Search / Check_x000D_
Module 2: Threats to Civil Aviation _x000D_
Module 3: Dangerous Goods, Prohibited Items and Improvised Explosive Device_x000D_
Module 4: Aircraft Search / Check _x000D_
Module 5: Detection of Suspected Items",aircraft cruise operations,In Sector,0,"The course focuses on aircraft search and security, not on cruise operations or performance management.",high,0.0,"The course content focuses on aircraft search and security, which does not directly relate to the skill of aircraft cruise operations. The knowledge and abilities required for aircraft cruise operations are not covered in the course modules provided.",high
